  ^28/*28$ ^ымыӈ/*ымыӈ$
   ^1/*1$ ^Ӄымэԓынан/*Ӄымэԓынан$
   ^1/*1$ ^Ӄыепынмын/*Ӄыепынмын$
   ^1/*1$ ^Ӄыгъекви/*Ӄыгъекви$
   ^1/*1$ ^Ӄыгтыгынат/*Ӄыгтыгынат$
   ^1/*1$ ^Ӄыгитъэм/*Ӄыгитъэм$
   ^1/*1$ ^Ӄывэтгавчетыркын/*Ӄывэтгавчетыркын$
   ^1/*1$ ^Ӄываԓёмгытык/*Ӄываԓёмгытык$
   ^1/*1$ ^Ӄуԓеэкэтык/*Ӄуԓеэкэтык$
   ^1/*1$ ^Ӄутынин/*Ӄутынин$
   ^1/*1$ ^Ӄутги/*Ӄутги$
   ^1/*1$ ^Ӄунԓеԓюнин/*Ӄунԓеԓюнин$
   ^1/*1$ ^Ӄунԓеԓюйгым/*Ӄунԓеԓюйгым$
   ^1/*1$ ^Ӄувԓеграԓьыт/*Ӄувԓеграԓьыт$
   ^1/*1$ ^Ӄоԓетъыԓё/*Ӄоԓетъыԓё$
   ^1/*1$ ^Ӄоԓеаʼачека/*Ӄоԓеаʼачека$
   ^1/*1$ ^Ӄотчагъат/*Ӄотчагъат$
   ^1/*1$ ^Ӄорамэч/*Ӄорамэч$
   ^1/*1$ ^Ӄорагыркэсӄэвъэ/*Ӄорагыркэсӄэвъэ$
   ^1/*1$ ^Ӄончечгыргынтогъэ/*Ӄончечгыргынтогъэ$
   ^1/*1$ ^Ӄонпы/*Ӄонпы$
   ^1/*1$ ^Ӄинвиӈэтӄээтыркын/*Ӄинвиӈэтӄээтыркын$
   ^1/*1$ ^Ӄиквынэт/*Ӄиквынэт$
   ^1/*1$ ^Ӄаптэткынэты/*Ӄаптэткынэты$
   ^1/*1$ ^Ӄамэтваԓьатгъат/*Ӄамэтваԓьатгъат$
   ^1/*1$ ^Ӄакачетгын/*Ӄакачетгын$
   ^1/*1$ ^Ӄавэръэпытык/*Ӄавэръэпытык$
   ^1/*1$ ^Ӄааԓьатыԓьыт/*Ӄааԓьатыԓьыт$
   ^1/*1$ ^Ӄаарытрата/*Ӄаарытрата$
   ^1/*1$ ^Ӄаараԓьоӈыӈогъат/*Ӄаараԓьоӈыӈогъат$
   ^1/*1$ ^Ӄаантано/*Ӄаантано$
   ^1/*1$ ^ӃУНԒЕԒЮН/*ӃУНԒЕԒЮН$
   ^1/*1$ ^ӃУНԒЕԒЮ/*ӃУНԒЕԒЮ$
   ^1/*1$ ^ёрыткон/*ёрыткон$
   ^1/*1$ ^ёпатыԓьыт/*ёпатыԓьыт$
   ^1/*1$ ^ёпатыԓьын/*ёпатыԓьын$
   ^1/*1$ ^ёпатычьата/*ёпатычьата$
   ^1/*1$ ^яԓгыттыԓяԓьыт/*яԓгыттыԓяԓьыт$
   ^1/*1$ ^яӈаӈӄач/*яӈаӈӄач$
   ^1/*1$ ^яӈаӈы/*яӈаӈы$
   ^1/*1$ ^яӈайпыӈ/*яӈайпыӈ$
   ^1/*1$ ^ятыӈок/*ятыӈок$
   ^1/*1$ ^яраԓгийӈын/*яраԓгийӈын$
   ^1/*1$ ^ярачыкон/*ярачыкон$
   ^1/*1$ ^ярачыкогты/*ярачыкогты$
   ^1/*1$ ^ярарпэрэгъэ/*ярарпэрэгъэ$
   ^1/*1$ ^ярамэгчератык/*ярамэгчератык$
   ^1/*1$ ^яракэн/*яракэн$
   ^1/*1$ ^янръатвыӄая/*янръатвыӄая$
   ^1/*1$ ^янръатвъыԓьын/*янръатвъыԓьын$
   ^1/*1$ ^янрачемгъогъэ/*янрачемгъогъэ$
   ^1/*1$ ^янотыԓьыт/*янотыԓьыт$
   ^1/*1$ ^яйваԓьаачека/*яйваԓьаачека$
   ^1/*1$ ^ягыӈӄачайпы/*ягыӈӄачайпы$
   ^1/*1$ ^ягтаԓытвак/*ягтаԓытвак$
   ^1/*1$ ^ягнаковԓыткогъэ/*ягнаковԓыткогъэ$
   ^1/*1$ ^яаԓеӈӄачайпы/*яаԓеӈӄачайпы$
   ^1/*1$ ^яаԓеӈӄач/*яаԓеӈӄач$
   ^1/*1$ ^яаё/*яаё$
   ^1/*1$ ^яачыӈ/*яачыӈ$
   ^1/*1$ ^яатԓьаӄагтэ/*яатԓьаӄагтэ$
   ^1/*1$ ^яатԓьаваратэн/*яатԓьаваратэн$
   ^1/*1$ ^яатрак/*яатрак$
   ^1/*1$ ^эԓёԓьынвэпы/*эԓёԓьынвэпы$
   ^1/*1$ ^эԓёԓьатыӈогъэ/*эԓёԓьатыӈогъэ$
   ^1/*1$ ^эԓервирымкын/*эԓервирымкын$
   ^1/*1$ ^эԓейвыткувыԓгыкыԓьинэт/*эԓейвыткувыԓгыкыԓьинэт$
   ^1/*1$ ^эԓгытараӈгъэ/*эԓгытараӈгъэ$
   ^1/*1$ ^эԓгымэԓётаԓгын/*эԓгымэԓётаԓгын$
   ^1/*1$ ^эԓгомӄайӈын/*эԓгомӄайӈын$
   ^1/*1$ ^эԓвэԓьинэт/*эԓвэԓьинэт$
   ^1/*1$ ^эԓвэӄуԓиквъи/*эԓвэӄуԓиквъи$
   ^1/*1$ ^эӈэвкыԓьин/*эӈэвкыԓьин$
   ^1/*1$ ^эӈъэԓьейвэԓ/*эӈъэԓьейвэԓ$
   ^1/*1$ ^эӄэԓьован/*эӄэԓьован$
   ^1/*1$ ^эӄэԓывэн/*эӄэԓывэн$
   ^1/*1$ ^эӄэӈувтывэкыԓьин/*эӄэӈувтывэкыԓьин$
   ^1/*1$ ^эӄыԓпэӄэй/*эӄыԓпэӄэй$
   ^1/*1$ ^эӄуԓиԓьыръукэ/*эӄуԓиԓьыръукэ$
   ^1/*1$ ^эӄинэ/*эӄинэ$
   ^1/*1$ ^эчыгэйкыԓьинэт/*эчыгэйкыԓьинэт$
   ^1/*1$ ^эчеԓитъэейвэԓ/*эчеԓитъэейвэԓ$
   ^1/*1$ ^эченут/*эченут$
   ^1/*1$ ^эчгыткын/*эчгыткын$
   ^1/*1$ ^эчгытвэтэӈэ/*эчгытвэтэӈэ$
   ^1/*1$ ^эчгивытрыкэ/*эчгивытрыкэ$
   ^1/*1$ ^эчвэра/*эчвэра$
   ^1/*1$ ^эчвикэ/*эчвикэ$
   ^1/*1$ ^этԓыгыкыԓьин/*этԓыгыкыԓьин$
   ^1/*1$ ^этэӈӈэвысӄэткэ/*этэӈӈэвысӄэткэ$
   ^1/*1$ ^этэрэсӄивӈыкэ/*этэрэсӄивӈыкэ$
   ^1/*1$ ^этыӈӈой/*этыӈӈой$
   ^1/*1$ ^этынвэты/*этынвэты$
   ^1/*1$ ^этынвыԓьа/*этынвыԓьа$
   ^1/*1$ ^этынво/*этынво$
   ^1/*1$ ^этъянвыт/*этъянвыт$
   ^1/*1$ ^этъорымагтэты/*этъорымагтэты$
   ^1/*1$ ^этъоныкэт/*этъоныкэт$
   ^1/*1$ ^этъоныкит/*этъоныкит$
   ^1/*1$ ^этъо/*этъо$
   ^1/*1$ ^этуԓьыԓӄивкэ/*этуԓьыԓӄивкэ$
   ^1/*1$ ^эттэԓыткокэгты/*эттэԓыткокэгты$
   ^1/*1$ ^эткаёԓӄыԓ/*эткаёԓӄыԓ$
   ^1/*1$ ^этиркининикэ/*этиркининикэ$
   ^1/*1$ ^этгэԓгынратчовыԓьыт/*этгэԓгынратчовыԓьыт$
   ^1/*1$ ^этааны/*этааны$
   ^1/*1$ ^эры/*эры$
   ^1/*1$ ^эръэтэ/*эръэтэ$
   ^1/*1$ ^эръэтъуԓти/*эръэтъуԓти$
   ^1/*1$ ^эръоԓгэпы/*эръоԓгэпы$
   ^1/*1$ ^эръоԓгыӄай/*эръоԓгыӄай$
   ^1/*1$ ^эрмэтэ/*эрмэтэ$
   ^1/*1$ ^эркыпыԓьын/*эркыпыԓьын$
   ^1/*1$ ^эпԓьэйӈэвкэ/*эпԓьэйӈэвкэ$
   ^1/*1$ ^эпԓытъымрымӈукыԓьин/*эпԓытъымрымӈукыԓьин$
   ^1/*1$ ^эпԓеэнъым/*эпԓеэнъым$
   ^1/*1$ ^энъэргыпатыԓьыт/*энъэргыпатыԓьыт$
   ^1/*1$ ^эноматыԓьыт/*эноматыԓьыт$
   ^1/*1$ ^энмэпы/*энмэпы$
   ^1/*1$ ^энмыԓыко/*энмыԓыко$
   ^1/*1$ ^энмык/*энмык$
   ^1/*1$ ^энмыгэӈата/*энмыгэӈата$
   ^1/*1$ ^эниръытвыӈэткыԓьин/*эниръытвыӈэткыԓьин$
   ^1/*1$ ^эниръытвыӈэткыԓьигым/*эниръытвыӈэткыԓьигым$
   ^1/*1$ ^энвэнӈыкыԓьин/*энвэнӈыкыԓьин$
   ^1/*1$ ^энаԓпынрытык/*энаԓпынрытык$
   ^1/*1$ ^энатрэтъёԓгыӄай/*энатрэтъёԓгыӄай$
   ^1/*1$ ^энатвыка/*энатвыка$
   ^1/*1$ ^энарэрыԓьыт/*энарэрыԓьыт$
   ^1/*1$ ^энарэракватыӈок/*энарэракватыӈок$
   ^1/*1$ ^энараԓьыт/*энараԓьыт$
   ^1/*1$ ^энараԓьо/*энараԓьо$
   ^1/*1$ ^энанӈэватыԓьатыԓьэты/*энанӈэватыԓьатыԓьэты$
   ^1/*1$ ^энанрыԓпэркэн/*энанрыԓпэркэн$
   ^1/*1$ ^энанмыка/*энанмыка$
   ^1/*1$ ^энанматыԓьа/*энанматыԓьа$
   ^1/*1$ ^энанвэтгыԓьавтык/*энанвэтгыԓьавтык$
   ^1/*1$ ^энамӈыԓёйвыка/*энамӈыԓёйвыка$
   ^1/*1$ ^энамыԓкэнвык/*энамыԓкэнвык$
   ^1/*1$ ^энамынгыквыка/*энамынгыквыка$
   ^1/*1$ ^энайыръыйпама/*энайыръыйпама$
   ^1/*1$ ^эмԓьуԓӄыԓ/*эмԓьуԓӄыԓ$
   ^1/*1$ ^эмԓытыёнэн/*эмԓытыёнэн$
   ^1/*1$ ^эмӈэԓвыԓ/*эмӈэԓвыԓ$
   ^1/*1$ ^эмӈэвынъюԓьыт/*эмӈэвынъюԓьыт$
   ^1/*1$ ^эмӈирэсӄивэ/*эмӈирэсӄивэ$
   ^1/*1$ ^эмӄуԓгэ/*эмӄуԓгэ$
   ^1/*1$ ^эмэӄинэ/*эмэӄинэ$
   ^1/*1$ ^эмэрмэтэ/*эмэрмэтэ$
   ^1/*1$ ^эмэмгивы/*эмэмгивы$
   ^1/*1$ ^эмыԓгык/*эмыԓгык$
   ^1/*1$ ^эмытӄытвыкыԓьин/*эмытӄытвыкыԓьин$
   ^1/*1$ ^эмытъэт/*эмытъэт$
   ^1/*1$ ^эмыпкитԓьэну/*эмыпкитԓьэну$
   ^1/*1$ ^эмыннэнъюну/*эмыннэнъюну$
   ^1/*1$ ^эмынйивин/*эмынйивин$
   ^1/*1$ ^эмъэԓемкэ/*эмъэԓемкэ$
   ^1/*1$ ^эмтэӈэрмэчьин/*эмтэӈэрмэчьин$
   ^1/*1$ ^эмтэӈыныгмиԓ/*эмтэӈыныгмиԓ$
   ^1/*1$ ^эмтэтванвыеквэ/*эмтэтванвыеквэ$
   ^1/*1$ ^эмтэквыԓгын/*эмтэквыԓгын$
   ^1/*1$ ^эмтэйпысӄычаннэн/*эмтэйпысӄычаннэн$
   ^1/*1$ ^эмтэгинӈэтыԓьын/*эмтэгинӈэтыԓьын$
   ^1/*1$ ^эмриԓгымӈэ/*эмриԓгымӈэ$
   ^1/*1$ ^эмпипиӄыԓгэ/*эмпипиӄыԓгэ$
   ^1/*1$ ^эмпипиӄыԓгытъуԓе/*эмпипиӄыԓгытъуԓе$
   ^1/*1$ ^эмнуӈыԓьыӄэгти/*эмнуӈыԓьыӄэгти$
   ^1/*1$ ^эмнуӈкы/*эмнуӈкы$
   ^1/*1$ ^эмнуӈкинэт/*эмнуӈкинэт$
   ^1/*1$ ^эмнуӈкин/*эмнуӈкин$
   ^1/*1$ ^эмноԓтомгыт/*эмноԓтомгыт$
   ^1/*1$ ^эмичичивэ/*эмичичивэ$
   ^1/*1$ ^эмитӄыевэ/*эмитӄыевэ$
   ^1/*1$ ^эмгэргэ/*эмгэргэ$
   ^1/*1$ ^эмгынтэвыԓьын/*эмгынтэвыԓьын$
   ^1/*1$ ^экэвкииркыт/*экэвкииркыт$
   ^1/*1$ ^экымъыкэ/*экымъыкэ$
   ^1/*1$ ^экымиӈыкыԓьин/*экымиӈыкыԓьин$
   ^1/*1$ ^эккэтэ/*эккэтэ$
   ^1/*1$ ^эквэтыԓьын/*эквэтыԓьын$
   ^1/*1$ ^эквэтыԓьигым/*эквэтыԓьигым$
   ^1/*1$ ^эйыԓӄэткыԓьин/*эйыԓӄэткыԓьин$
   ^1/*1$ ^эймэвкы/*эймэвкы$
   ^1/*1$ ^эйиԓыкэ/*эйиԓыкэ$
   ^1/*1$ ^эйгуԓеткыԓьин/*эйгуԓеткыԓьин$
   ^1/*1$ ^эйгуԓеткыԓьигым/*эйгуԓеткыԓьигым$
   ^1/*1$ ^эгыянвык/*эгыянвык$
   ^1/*1$ ^эгъюԓеткыԓьымури/*эгъюԓеткыԓьымури$
   ^1/*1$ ^эвыԓӄонайгыргыӄачԓьаӄагтэ/*эвыԓӄонайгыргыӄачԓьаӄагтэ$
   ^1/*1$ ^эвыӈонэн/*эвыӈонэн$
   ^1/*1$ ^эвыӈан/*эвыӈан$
   ^1/*1$ ^эвынӈэв/*эвынӈэв$
   ^1/*1$ ^эвынгынникутэ/*эвынгынникутэ$
   ^1/*1$ ^эвъянвыткоӄаатгъэ/*эвъянвыткоӄаатгъэ$
   ^1/*1$ ^эвъянвыкыԓьэн/*эвъянвыкыԓьэн$
   ^1/*1$ ^эвъэм/*эвъэм$
   ^1/*1$ ^эвъим/*эвъим$
   ^1/*1$ ^эвтыԓяйпы/*эвтыԓяйпы$
   ^1/*1$ ^эвтыԓьеквэ/*эвтыԓьеквэ$
   ^1/*1$ ^эвтытвэтагнэты/*эвтытвэтагнэты$
   ^1/*1$ ^эвнэӄуԓиԓьэткэ/*эвнэӄуԓиԓьэткэ$
   ^1/*1$ ^эвнэчеӈыттэткэ/*эвнэчеӈыттэткэ$
   ^1/*1$ ^эвнэтԓепыткукэ/*эвнэтԓепыткукэ$
   ^1/*1$ ^эвнэегтэԓкэ/*эвнэегтэԓкэ$
   ^1/*1$ ^эвиръыӄэгти/*эвиръыӄэгти$
   ^1/*1$ ^эвиръынтэгрэквъэт/*эвиръынтэгрэквъэт$
   ^1/*1$ ^эʼԓепэтгъи/*эʼԓепэтгъи$
   ^1/*1$ ^эʼԓемкыт/*эʼԓемкыт$
   ^1/*1$ ^эʼӈыткынык/*эʼӈыткынык$
   ^1/*1$ ^эʼӈгыргэпы/*эʼӈгыргэпы$
   ^1/*1$ ^эʼӈгыргыкаӈонаӈаткогъэ/*эʼӈгыргыкаӈонаӈаткогъэ$
   ^1/*1$ ^эʼӈвэнатыӈогъэ/*эʼӈвэнатыӈогъэ$
   ^1/*1$ ^эʼӄэԓьуԓӄыԓԓьэт/*эʼӄэԓьуԓӄыԓԓьэт$
   ^1/*1$ ^эʼӄэӈэвысӄэт/*эʼӄэӈэвысӄэт$
   ^1/*1$ ^эʼӄэвиръыԓьын/*эʼӄэвиръыԓьын$
   ^1/*1$ ^эʼӄъУ/*эʼӄъУ$
   ^1/*1$ ^эʼчеԓьын/*эʼчеԓьын$
   ^1/*1$ ^эʼчесӄивыԓьын/*эʼчесӄивыԓьын$
   ^1/*1$ ^эʼрапэнрыркынэн/*эʼрапэнрыркынэн$
   ^1/*1$ ^эʼрапэнрынэн/*эʼрапэнрынэн$
   ^1/*1$ ^эʼрамӈыԓятгъэ/*эʼрамӈыԓятгъэ$
   ^1/*1$ ^эʼптэгым/*эʼптэгым$
   ^1/*1$ ^эʼнӄэтыԓьын/*эʼнӄэтыԓьын$
   ^1/*1$ ^эʼнӄэвкы/*эʼнӄэвкы$
   ^1/*1$ ^эʼмпыквотытваркын/*эʼмпыквотытваркын$
   ^1/*1$ ^эʼмитԓён/*эʼмитԓён$
   ^1/*1$ ^эʼйнэвийгуг/*эʼйнэвийгуг$
   ^1/*1$ ^эʼгыкъоԓягъат/*эʼгыкъоԓягъат$
   ^1/*1$ ^эʼвэйминнин/*эʼвэйминнин$
   ^1/*1$ ^э-эми/*э-эми$
   ^1/*1$ ^ыԓваӄаатъоԓёԓьатыркын/*ыԓваӄаатъоԓёԓьатыркын$
   ^1/*1$ ^ыԓваӄаат/*ыԓваӄаат$
   ^1/*1$ ^ыԓваӄаанмыё/*ыԓваӄаанмыё$
   ^1/*1$ ^ыԓванма/*ыԓванма$
   ^1/*1$ ^ытԓякы/*ытԓякы$
   ^1/*1$ ^ытԓьэты/*ытԓьэты$
   ^1/*1$ ^ытԓьо/*ытԓьо$
   ^1/*1$ ^ытԓьакая/*ытԓьакая$
   ^1/*1$ ^ытԓьайӈын/*ытԓьайӈын$
   ^1/*1$ ^ытԓыгыӄэй/*ытԓыгыӄэй$
   ^1/*1$ ^ытԓыгыкинэмиԓ/*ытԓыгыкинэмиԓ$
   ^1/*1$ ^ытԓыграк/*ытԓыграк$
   ^1/*1$ ^ытԓыгигыт/*ытԓыгигыт$
   ^1/*1$ ^ытԓывэ/*ытԓывэ$
   ^1/*1$ ^ытԓывъёӄая/*ытԓывъёӄая$
   ^1/*1$ ^ытԓывъёӄай/*ытԓывъёӄай$
   ^1/*1$ ^ытԓывъёта/*ытԓывъёта$
   ^1/*1$ ^ытԓывъёкай/*ытԓывъёкай$
   ^1/*1$ ^ыттыт/*ыттыт$
   ^1/*1$ ^ыттыннэгъи/*ыттыннэгъи$
   ^1/*1$ ^ыттыннамгогъэ/*ыттыннамгогъэ$
   ^1/*1$ ^ырыткутэ/*ырыткутэ$
   ^1/*1$ ^ырыткочетымгогъат/*ырыткочетымгогъат$
   ^1/*1$ ^ырыгъягна/*ырыгъягна$
   ^1/*1$ ^ырыгтумгык/*ырыгтумгык$
   ^1/*1$ ^ырыграӈӄачагты/*ырыграӈӄачагты$
   ^1/*1$ ^ырыгнотагты/*ырыгнотагты$
   ^1/*1$ ^ыпыԓӄыԓе/*ыпыԓӄыԓе$
   ^1/*1$ ^ыпаԓгытъоԓ/*ыпаԓгытъоԓ$
   ^1/*1$ ^ынӈэннымгыпы/*ынӈэннымгыпы$
   ^1/*1$ ^ынӈотваԓьынынныԓьын/*ынӈотваԓьынынныԓьын$
   ^1/*1$ ^ынӈинӈэвысӄэтэ/*ынӈинӈэвысӄэтэ$
   ^1/*1$ ^ынӈинуттыӄэе/*ынӈинуттыӄэе$
   ^1/*1$ ^ынӈиннымык/*ынӈиннымык$
   ^1/*1$ ^ынӄэнына/*ынӄэнына$
   ^1/*1$ ^ынӄэнаӄай/*ынӄэнаӄай$
   ^1/*1$ ^ынӄэнайгым/*ынӄэнайгым$
   ^1/*1$ ^ынээԓьэ/*ынээԓьэ$
   ^1/*1$ ^ынээԓьыт/*ынээԓьыт$
   ^1/*1$ ^ынээԓьын/*ынээԓьын$
   ^1/*1$ ^ыныӄӄач/*ыныӄӄач$
   ^1/*1$ ^ыныкувикик/*ыныкувикик$
   ^1/*1$ ^ыныгъегэ/*ыныгъегэ$
   ^1/*1$ ^ыныгчурмэтэ/*ыныгчурмэтэ$
   ^1/*1$ ^ыныгрэн/*ыныгрэн$
   ^1/*1$ ^ыныгпэӈконвык/*ыныгпэӈконвык$
   ^1/*1$ ^ыныгпэччесӄык/*ыныгпэччесӄык$
   ^1/*1$ ^ыныггыԓгэпы/*ыныггыԓгэпы$
   ^1/*1$ ^ынъеврак/*ынъеврак$
   ^1/*1$ ^ынтыётомгыт/*ынтыётомгыт$
   ^1/*1$ ^ынтыёта/*ынтыёта$
   ^1/*1$ ^ынтыёнӈагъэ/*ынтыёнӈагъэ$
   ^1/*1$ ^ынрэмэчынпыиʼны/*ынрэмэчынпыиʼны$
   ^1/*1$ ^ынрамачынпымэԓётаԓгын/*ынрамачынпымэԓётаԓгын$
   ^1/*1$ ^ынрамачгэвэгты/*ынрамачгэвэгты$
   ^1/*1$ ^ынпэԓьыт/*ынпэԓьыт$
   ^1/*1$ ^ынпэԓьымури/*ынпэԓьымури$
   ^1/*1$ ^ынпыӈэвыткут/*ынпыӈэвыткут$
   ^1/*1$ ^ынпыӈавийӈа/*ынпыӈавийӈа$
   ^1/*1$ ^ынпыӈ/*ынпыӈ$
   ^1/*1$ ^ынпыянвт/*ынпыянвт$
   ^1/*1$ ^ынпычьыӄэй/*ынпычьыӄэй$
   ^1/*1$ ^ынпычьын/*ынпычьын$
   ^1/*1$ ^ынпычьыкымиӈэ/*ынпычьыкымиӈэ$
   ^1/*1$ ^ынпыначгэгым/*ынпыначгэгым$
   ^1/*1$ ^ынпыначгыԓгыӄай/*ынпыначгыԓгыӄай$
   ^1/*1$ ^ынпыначгыԓгийӈын/*ынпыначгыԓгийӈын$
   ^1/*1$ ^ынпыначгытомга/*ынпыначгытомга$
   ^1/*1$ ^ынпыначгыткот/*ынпыначгыткот$
   ^1/*1$ ^ынпыначгыкай/*ынпыначгыкай$
   ^1/*1$ ^ынпъаԓявыԓё/*ынпъаԓявыԓё$
   ^1/*1$ ^ыннэӈэккэԓьын/*ыннэӈэккэԓьын$
   ^1/*1$ ^ыннэнӈэвысӄэтык/*ыннэнӈэвысӄэтык$
   ^1/*1$ ^ыннэнэккэԓьыт/*ыннэнэккэԓьыт$
   ^1/*1$ ^ыннэнрыԓгэ/*ыннэнрыԓгэ$
   ^1/*1$ ^ыннэннымык/*ыннэннымык$
   ^1/*1$ ^ыннэнмъэмитэ/*ыннэнмъэмитэ$
   ^1/*1$ ^ыннэнкымиӈыԓьыт/*ыннэнкымиӈыԓьыт$
   ^1/*1$ ^ыннэнгивик/*ыннэнгивик$
   ^1/*1$ ^ынныԓьугъэт/*ынныԓьугъэт$
   ^1/*1$ ^ынныӄуԓгыт/*ынныӄуԓгыт$
   ^1/*1$ ^ынныпэвэԓӄэй/*ынныпэвэԓӄэй$
   ^1/*1$ ^ынну/*ынну$
   ^1/*1$ ^ыннот/*ыннот$
   ^1/*1$ ^ыннин/*ыннин$
   ^1/*1$ ^ыннанъоравэтԓьаԓьын/*ыннанъоравэтԓьаԓьын$
   ^1/*1$ ^ыннанъаачекэн/*ыннанъаачекэн$
   ^1/*1$ ^ыннанраԓьыт/*ыннанраԓьыт$
   ^1/*1$ ^ыннанраԓьо/*ыннанраԓьо$
   ^1/*1$ ^ыннанмытԓыӈыргарэ/*ыннанмытԓыӈыргарэ$
   ^1/*1$ ^ыннангэвэгты/*ыннангэвэгты$
   ^1/*1$ ^ынкэӄэтгъи/*ынкэӄэтгъи$
   ^1/*1$ ^ынкэчыкун/*ынкэчыкун$
   ^1/*1$ ^ынкэкинэт/*ынкэкинэт$
   ^1/*1$ ^ынкэгйиткинэт/*ынкэгйиткинэт$
   ^1/*1$ ^ынкъым/*ынкъым$
   ^1/*1$ ^ынко/*ынко$
   ^1/*1$ ^ынканоԓгата/*ынканоԓгата$
   ^1/*1$ ^ынинэԓьэ/*ынинэԓьэ$
   ^1/*1$ ^ынанӄопӄыӄаёота/*ынанӄопӄыӄаёота$
   ^1/*1$ ^ынанэтъопэԓ/*ынанэтъопэԓ$
   ^1/*1$ ^ынанэнъычьын/*ынанэнъычьын$
   ^1/*1$ ^ынанэвԓываӄычьын/*ынанэвԓываӄычьын$
   ^1/*1$ ^ынанъяраӈӄачкэн/*ынанъяраӈӄачкэн$
   ^1/*1$ ^ынанъаёӈ/*ынанъаёӈ$
   ^1/*1$ ^ынанъаё/*ынанъаё$
   ^1/*1$ ^ынанчиӄай/*ынанчиӄай$
   ^1/*1$ ^ынанчевтыгыткачьын/*ынанчевтыгыткачьын$
   ^1/*1$ ^ынантаӈавэръыԓьын/*ынантаӈавэръыԓьын$
   ^1/*1$ ^ынанръанот/*ынанръанот$
   ^1/*1$ ^ынанпэтыэръыӄай/*ынанпэтыэръыӄай$
   ^1/*1$ ^ынанорачьыт/*ынанорачьыт$
   ^1/*1$ ^ынанмыӄычьыӄай/*ынанмыӄычьыӄай$
   ^1/*1$ ^ынанмыӄычьын/*ынанмыӄычьын$
   ^1/*1$ ^ынангытэӈычьын/*ынангытэӈычьын$
   ^1/*1$ ^ынангъо/*ынангъо$
   ^1/*1$ ^ынанармачьыт/*ынанармачьыт$
   ^1/*1$ ^ынанармачьо/*ынанармачьо$
   ^1/*1$ ^ымӈытатгъэ/*ымӈытатгъэ$
   ^1/*1$ ^ымыӈӄун/*ымыӈӄун$
   ^1/*1$ ^ымычьычоӈэт/*ымычьычоӈэт$
   ^1/*1$ ^ымычьычонэт/*ымычьычонэт$
   ^1/*1$ ^ымъяата/*ымъяата$
   ^1/*1$ ^ымъым/*ымъым$
   ^1/*1$ ^ымъанӄо/*ымъанӄо$
   ^1/*1$ ^ымтъыԓя/*ымтъыԓя$
   ^1/*1$ ^ымпэԓята/*ымпэԓята$
   ^1/*1$ ^ымнэнта/*ымнэнта$
   ^1/*1$ ^ымгаԓята/*ымгаԓята$
   ^1/*1$ ^ывэкокайпы/*ывэкокайпы$
   ^1/*1$ ^ыʼԓёкэн/*ыʼԓёкэн$
   ^1/*1$ ^ыʼԓрачыкойпы/*ыʼԓрачыкойпы$
   ^1/*1$ ^ыʼԓрат/*ыʼԓрат$
   ^1/*1$ ^ыʼԓгыӈэвмиргу/*ыʼԓгыӈэвмиргу$
   ^1/*1$ ^ыʼԓгытумгигыт/*ыʼԓгытумгигыт$
   ^1/*1$ ^ыʼтԓён/*ыʼтԓён$
   ^1/*1$ ^ыʼттъыӄэгти/*ыʼттъыӄэгти$
   ^1/*1$ ^ыʼттъыӄаанматкэнамэԓ/*ыʼттъыӄаанматкэнамэԓ$
   ^1/*1$ ^ыʼттъыёԓягты/*ыʼттъыёԓягты$
   ^1/*1$ ^ыʼттъыётраԓьо/*ыʼттъыётраԓьо$
   ^1/*1$ ^ыʼттъыётрак/*ыʼттъыётрак$
   ^1/*1$ ^ыʼттъымычвиткукин/*ыʼттъымычвиткукин$
   ^1/*1$ ^ыʼттъооԓягты/*ыʼттъооԓягты$
   ^1/*1$ ^ыʼттъооԓпэнрыԓьыт/*ыʼттъооԓпэнрыԓьыт$
   ^1/*1$ ^ыʼттъооԓкэн/*ыʼттъооԓкэн$
   ^1/*1$ ^ыʼтръэч/*ыʼтръэч$
   ^1/*1$ ^ыʼтвыӄэй/*ыʼтвыӄэй$
   ^1/*1$ ^ыʼтвычыкукин/*ыʼтвычыкукин$
   ^1/*1$ ^ыʼтвычыку/*ыʼтвычыку$
   ^1/*1$ ^ыʼтвыткуԓьэ/*ыʼтвыткуԓьэ$
   ^1/*1$ ^ыʼтвыткугъи/*ыʼтвыткугъи$
   ^1/*1$ ^ыʼтвыткотэнмаквъат/*ыʼтвыткотэнмаквъат$
   ^1/*1$ ^ыʼтвынпанвэты/*ыʼтвынпанвэты$
   ^1/*1$ ^ыʼтвыномавыпԓыткок/*ыʼтвыномавыпԓыткок$
   ^1/*1$ ^ыʼтвыйыръыйпэк/*ыʼтвыйыръыйпэк$
   ^1/*1$ ^ыʼтвин/*ыʼтвин$
   ^1/*1$ ^ыʼсӄаӄовэнӄорэн/*ыʼсӄаӄовэнӄорэн$
   ^1/*1$ ^ыʼсӄаӄовэнӄаата/*ыʼсӄаӄовэнӄаата$
   ^1/*1$ ^ыʼсӄамӈытоӄанъявкэн/*ыʼсӄамӈытоӄанъявкэн$
   ^1/*1$ ^ыʼскагтатгъэ/*ыʼскагтатгъэ$
   ^1/*1$ ^ыʼръытагъенчагъэ/*ыʼръытагъенчагъэ$
   ^1/*1$ ^ыʼръыпэӄэтатыӈогъэ/*ыʼръыпэӄэтатыӈогъэ$
