^2606/*2606$ ^./.<sent>$
   ^2/*2$ ^ӄооԓга/ӄооԓгын<n><edge><erg>$
   ^2/*2$ ^ӄончечгырга/*ӄончечгырга$
   ^2/*2$ ^ӄонпы/*ӄонпы$
   ^2/*2$ ^ӄонайӄагтэ/*ӄонайӄагтэ$
   ^2/*2$ ^ӄоймарочыӈкы/*ӄоймарочыӈкы$
   ^2/*2$ ^ӄиԓкымъетгытык/*ӄиԓкымъетгытык$
   ^2/*2$ ^ӄитыркын/итык<v><iv><prog><intn><s_sg2>/итык<v><tv><prog><intn><a_sg2><o_sg3>/ӄитык<v><iv><prog><aor><s_sg2>/ӄитык<v><iv><prog><aor><s_sg3>/ӄитык<v><tv><prog><aor><a_sg2><o_sg3>/ӄитыԓьын<v><iv><prog><aor><s_sg2>/ӄитыԓьын<v><iv><prog><aor><s_sg3>$
   ^2/*2$ ^ӄинэвэнӈэтыркынитык/*ӄинэвэнӈэтыркынитык$
   ^2/*2$ ^ӄинъэйӈэвыркын/*ӄинъэйӈэвыркын$
   ^2/*2$ ^ӄиквыткы/*ӄиквыткы$
   ^2/*2$ ^ӄийпыгынат/*ӄийпыгынат$
   ^2/*2$ ^ӄамэтваӈӈок/ӄамэтвак<v><iv><inch2><gna_ant>/ӄамэтвак<v><iv><inch2><inf>$
   ^2/*2$ ^ӄамэтванво/ӄамэтвак<v><iv><ger><ess>/ӄамэтвак<v><tv><ger><ess>/ӄамэтван<n><ess>$
   ^2/*2$ ^ӄамэтвагъат/ӄамэтвак<v><iv><neut><aor><s_pl3>$
   ^2/*2$ ^ӄаанматыԓьэты/*ӄаанматыԓьэты$
   ^2/*2$ ^ӄаайпы/ӄораӈы<n><abl>$
   ^2/*2$ ^Ӄԓявыԓ/ӄԓявыԓ<n><sg><abs>$
   ^2/*2$ ^ӃԒЯВЫԒ/ӄԓявыԓ<n><sg><abs>$
   ^2/*2$ ^Ӄытгъи/ӄытык<v><iv><neut><aor><s_sg2>/ӄытык<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^Ӄынтогэ/ӈыток<v><iv><neut><intn><s_sg2>$
   ^2/*2$ ^Ӄынвэт/ӄынвэт<adv>$
   ^2/*2$ ^Ӄыкэттывагэ/кэттывак<v><iv><neut><intn><s_sg2>$
   ^2/*2$ ^Ӄывэнтыги/вэнтык<v><iv><neut><intn><s_sg2>$
   ^2/*2$ ^Ӄуԓинымык/*Ӄуԓинымык$
   ^2/*2$ ^Ӄутырык/*Ӄутырык$
   ^2/*2$ ^Ӄуттъим/*Ӄуттъим$
   ^2/*2$ ^Ӄивыркын/ивык<v><iv><prog><intn><s_sg2>/ивык<v><tv><prog><intn><a_sg2><o_sg3>/ӄивыԓьын<v><iv><prog><aor><s_sg2>/ӄивыԓьын<v><iv><prog><aor><s_sg3>$
   ^2/*2$ ^Ӄамэтвама/ӄамэтвак<v><iv><gna_sim>$
   ^2/*2$ ^Ӄааԓьатынвык/ӄааԓьатык<v><iv><ger><loc>/ӄааԓьатык<v><tv><ger><loc>$
   ^2/*2$ ^Ӄаантана/*Ӄаантана$
   ^2/*2$ ^ёроӈы/ёроӈы<n><sg><abs>$
   ^2/*2$ ^яӈак/*яӈак$
   ^2/*2$ ^яраԓгйиӈын/*яраԓгйиӈын$
   ^2/*2$ ^ярар/ярар<n><sg><abs>$
   ^2/*2$ ^янраӈай/*янраӈай$
   ^2/*2$ ^яноттыԓяԓьын/*яноттыԓяԓьын$
   ^2/*2$ ^яаԓятгъат/яаԓятык<v><iv><neut><aor><s_pl3>$
   ^2/*2$ ^яаԓейпы/*яаԓейпы$
   ^2/*2$ ^яаԓ/*яаԓ$
   ^2/*2$ ^яатԓьаварат/*яатԓьаварат$
   ^2/*2$ ^яаркын/яак<v><iv><prog><aor><s_sg2>/яак<v><iv><prog><aor><s_sg3>/яак<v><tv><prog><aor><a_sg2><o_sg3>$
   ^2/*2$ ^эԓьоткоӈӈогъэ/*эԓьоткоӈӈогъэ$
   ^2/*2$ ^эԓьоткомгогъэ/*эԓьоткомгогъэ$
   ^2/*2$ ^эԓкыԓнин/эԓкыԓык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^эԓкыгъи/эԓкык<v><iv><neut><aor><s_sg2>/эԓкык<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^эԓервирэ/*эԓервирэ$
   ^2/*2$ ^эԓек/эԓекин<v><iv><gna_ant>/эԓекин<v><iv><inf>/эԓек<v><iv><gna_ant>/эԓек<v><iv><inf>$
   ^2/*2$ ^эԓгъаноквын/*эԓгъаноквын$
   ^2/*2$ ^эԓгарвэнӄор/*эԓгарвэнӄор$
   ^2/*2$ ^эӈэӈыԓьын/эӈэӈыԓьын<n><px3sg><abs>/эӈэӈыԓьын<n><sg><abs>$
   ^2/*2$ ^эӈэӈыԓьигым/*эӈэӈыԓьигым$
   ^2/*2$ ^эӈэвысӄэткэ/ӈэвысӄэт<n><prv>$
   ^2/*2$ ^эюргымтэӄэткэ/*эюргымтэӄэткэ$
   ^2/*2$ ^эюгъи/эюк<v><iv><neut><aor><s_sg2>/эюк<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^ээкэт/*ээкэт$
   ^2/*2$ ^ээккин/ээк<n><rel><sg><abs>$
   ^2/*2$ ^ээк/ээк<n><sg><abs>/ёк<v><iv><th><gna_ant>/ёк<v><iv><th><inf>$
   ^2/*2$ ^эчгытвэттэ/*эчгытвэттэ$
   ^2/*2$ ^этын/итык<v><iv><ger><sg><abs>/итык<v><tv><ger><sg><abs>/этын<n><sg><abs>/ёк<v><tv><th><neut><aor><a_sg2><o_sg3>$
   ^2/*2$ ^эръоԓгын/*эръоԓгын$
   ^2/*2$ ^эрмэԓтэтыԓьын/эрмэԓтэтыԓьын<n><px3sg><abs>/эрмэԓтэтыԓьын<n><sg><abs>$
   ^2/*2$ ^эпԓеккэ/пԓякыԓгын<n><prv>$
   ^2/*2$ ^энымкэ/нымным<n><prv>/рымык<v><iv><neg><hab><vb>/рымык<v><tv><neg><hab><vb>$
   ^2/*2$ ^энатыёнэнат/энатыёк<v><tv><neut><aor><a_sg3><o_pl3>$
   ^2/*2$ ^энатыёнэн/энатыёк<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^эмӄытчирэтэ/*эмӄытчирэтэ$
   ^2/*2$ ^эмынӈин/*эмынӈин$
   ^2/*2$ ^эмынпэвэ/рыпык<v><iv><th><restr><vb>/рыпык<v><tv><th><restr><vb>/ынпэвык<v><iv><restr><vb>/ынпэвык<v><tv><restr><vb>$
   ^2/*2$ ^эмтэтванвык/имтик<v><iv><res><ger><loc>/имтик<v><tv><res><ger><loc>$
   ^2/*2$ ^эмтэгты/имтик<v><iv><vb>/имтик<v><tv><vb>$
   ^2/*2$ ^эмнымэйӈъэв/*эмнымэйӈъэв$
   ^2/*2$ ^эмгытԓитэ/гытԓиԓьын<v><iv><restr><vb>$
   ^2/*2$ ^эккэйгыт/*эккэйгыт$
   ^2/*2$ ^эйӈэкэ/йыӈэк<v><iv><neg><hab><vb>/йыӈэк<v><tv><neg><hab><vb>$
   ^2/*2$ ^эйыԓӄыкэ/йыԓӄыԓьын<adj><vb><neg>/йыԓӄыԓьын<v><iv><neg><hab><vb>$
   ^2/*2$ ^эйпичгын/эйпичгын<n><px3sg><abs>/эйпичгын<n><sg><abs>$
   ^2/*2$ ^эйичьэмиттумгыкыԓьин/*эйичьэмиттумгыкыԓьин$
   ^2/*2$ ^эй/*эй$
   ^2/*2$ ^эвыӈӈогъэ/ивык<v><iv><inch2><neut><aor><s_sg2>/ивык<v><iv><inch2><neut><aor><s_sg3>/эвык<v><iv><inch2><neut><aor><s_sg2>/эвык<v><iv><inch2><neut><aor><s_sg3>$
   ^2/*2$ ^эвытрыкэ/вырвыр<n><aa><prv>/вытвыт<n><aa><prv>$
   ^2/*2$ ^эвъам/*эвъам$
   ^2/*2$ ^эви/эви<ij>/эви<part>/эвык<v><iv><neut><aor><s_sg2>/эвык<v><iv><neut><aor><s_sg3>/ёк<v><iv><th><neut><aor><s_sg2>/ёк<v><iv><th><neut><aor><s_sg3>$
   ^2/*2$ ^эʼӄэԓьык/эʼӄэԓьын<n><loc>$
   ^2/*2$ ^эʼӄу/*эʼӄу$
   ^2/*2$ ^эʼчесӄиквъи/*эʼчесӄиквъи$
   ^2/*2$ ^эʼргыргын/иʼрык<v><iv><ger><aa><ess>/иʼрык<v><iv><ger><px3sg><abs>/иʼрык<v><iv><ger><sg><abs>/иʼрык<v><tv><ger><aa><ess>/иʼрык<v><tv><ger><px3sg><abs>/иʼрык<v><tv><ger><sg><abs>/эʼргыргын<n><px3sg><abs>/эʼргыргын<n><sg><abs>$
   ^2/*2$ ^эʼнӄэткэ/эʼнӄэтык<v><iv><neg><hab><vb>/эʼнӄэтык<v><tv><neg><hab><vb>$
   ^2/*2$ ^эʼннэпы/*эʼннэпы$
   ^2/*2$ ^ыԓён/*ыԓён$
   ^2/*2$ ^ыԓвэӄэй/*ыԓвэӄэй$
   ^2/*2$ ^ыԓваӄор/*ыԓваӄор$
   ^2/*2$ ^ыӈӈот/*ыӈӈот$
   ^2/*2$ ^ыяа/ыяакэн<adj><3sg>/ыяа<adv>$
   ^2/*2$ ^ытԓенъютэ/*ытԓенъютэ$
   ^2/*2$ ^ытчаё/*ытчаё$
   ^2/*2$ ^ырыт/ырыт<n><sg><abs>$
   ^2/*2$ ^ырыкагты/*ырыкагты$
   ^2/*2$ ^ырыгрээн/*ырыгрээн$
   ^2/*2$ ^ыргичгу/*ыргичгу$
   ^2/*2$ ^ыргинэт/*ыргинэт$
   ^2/*2$ ^ыргин/ытри<prn><pers><p3><pl><poss><3sg><sg><abs>/ыӄыӄ<n><pl><poss><3sg><sg><abs>$
   ^2/*2$ ^ыпаԓга/ыпаӈы<n><edge><erg>$
   ^2/*2$ ^ынӈот/*ынӈот$
   ^2/*2$ ^ынӄорыӈ/*ынӄорыӈ$
   ^2/*2$ ^ыныкимтик/*ыныкимтик$
   ^2/*2$ ^ынръа/*ынръа$
   ^2/*2$ ^ынпыӈэвӄэйин/ынпыӈэв<n><dim><poss><3sg><sg><abs>$
   ^2/*2$ ^ынпыӈэвин/ынпыӈэв<n><poss><3sg><sg><abs>$
   ^2/*2$ ^ынпыӈэв/ынпыӈэв<n><sg><abs>$
   ^2/*2$ ^ынпыянвыт/*ынпыянвыт$
   ^2/*2$ ^ынпыянва/*ынпыянва$
   ^2/*2$ ^ынпыначгыӄаен/*ынпыначгыӄаен$
   ^2/*2$ ^ынпыначгийӈын/*ынпыначгийӈын$
   ^2/*2$ ^ынныт/*ынныт$
   ^2/*2$ ^ынкэкин/ытԓён<prn><pers><p3><sg><rel><sg><abs>$
   ^2/*2$ ^ынйивэ/ынйив<n><erg>$
   ^2/*2$ ^ынйиву/ынйив<n><ess>$
   ^2/*2$ ^ынинэԓьын/*ынинэԓьын$
   ^2/*2$ ^ынанӈэнчьан/*ынанӈэнчьан$
   ^2/*2$ ^ынанъыттъыёԓ/*ынанъыттъыёԓ$
   ^2/*2$ ^ынанъаёк/*ынанъаёк$
   ^2/*2$ ^ымэты/ымым<n><all>$
   ^2/*2$ ^ымъыԓёӈэт/*ымъыԓёӈэт$
   ^2/*2$ ^ыʼԓёӈэт/ыʼԓёӈэт<n><sg><abs>$
   ^2/*2$ ^ыʼԓгу/*ыʼԓгу$
   ^2/*2$ ^ыʼтвэпы/*ыʼтвэпы$
   ^2/*2$ ^ыʼтвыткуԓьыт/*ыʼтвыткуԓьыт$
   ^2/*2$ ^ыʼнынтыркынигыт/*ыʼнынтыркынигыт$
   ^2/*2$ ^ыʼннутэргыгыт/*ыʼннутэргыгыт$
   ^2/*2$ ^ыʼмӈычвыно/*ыʼмӈычвыно$
   ^2/*2$ ^ыʼмӈан/*ыʼмӈан$
   ^2/*2$ ^ыʼвэкуч/*ыʼвэкуч$
   ^2/*2$ ^чыгайыткынык/*чыгайыткынык$
   ^2/*2$ ^чоттагнэты/*чоттагнэты$
   ^2/*2$ ^чимгъугъи/чимгъук<v><iv><neut><aor><s_sg2>/чимгъук<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^чеэкэй/чеэкэйкин<adj><3sg>/чеэкэй<adv>$
   ^2/*2$ ^чекыяа/*чекыяа$
   ^2/*2$ ^чагчомат/*чагчомат$
   ^2/*2$ ^чавчывата/чавчыв<n><erg>$
   ^2/*2$ ^чавчывагты/чавчыв<n><all>$
   ^2/*2$ ^чавчыв/чавчыв<n><sg><abs>$
   ^2/*2$ ^чаата/чаатык<v><iv><vb>/чаатык<v><tv><vb>/чаат<n><erg>$
   ^2/*2$ ^уӄӄэм/уӄӄэм<n><sg><abs>$
   ^2/*2$ ^ууйъын/*ууйъын$
   ^2/*2$ ^уттынпык/*уттынпык$
   ^2/*2$ ^упэ/упык<v><iv><vb>/упык<v><tv><vb>$
   ^2/*2$ ^умкычыкукин/*умкычыкукин$
   ^2/*2$ ^уккэнчи/уккэнчи<n><sg><abs>$
   ^2/*2$ ^увэрагты/*увэрагты$
   ^2/*2$ ^увэма/*увэма$
   ^2/*2$ ^увиӄэгти/*увиӄэгти$
   ^2/*2$ ^увинпыгъи/*увинпыгъи$
   ^2/*2$ ^увик/увик<n><sg><abs>/увик<v><iv><gna_ant>/увик<v><iv><inf>$
   ^2/*2$ ^увигъи/увик<v><iv><neut><aor><s_sg2>/увик<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^уʼрэквъи/*уʼрэквъи$
   ^2/*2$ ^уʼвэӄучитэ/уʼвэӄуч<n><erg>/уʼвэӄуч<n><pl><abs>/уʼвэӄуч<n><px3pl><abs>$
   ^2/*2$ ^тэԓвъэм/*тэԓвъэм$
   ^2/*2$ ^тэӈынӈэ/*тэӈынӈэ$
   ^2/*2$ ^тэӈыннэн/рынэк<v><tv><ints><neut><aor><a_sg2><o_sg3>/тэӈыннэн<adj><3sg>$
   ^2/*2$ ^тэӈуйӈэ/уйӈэ<part>$
   ^2/*2$ ^тэӈу/*тэӈу$
   ^2/*2$ ^тэнӈэквъи/*тэнӈэквъи$
   ^2/*2$ ^тэнмавымгогъэ/тэнмавык<v><iv><inch2><neut><aor><s_sg2>/тэнмавык<v><iv><inch2><neut><aor><s_sg3>/тэнмавык<v><iv><inch><neut><aor><s_sg2>/тэнмавык<v><iv><inch><neut><aor><s_sg3>/тэнмык<v><iv><th><inch2><neut><aor><s_sg2>/тэнмык<v><iv><th><inch2><neut><aor><s_sg3>/тэнмык<v><iv><th><inch><neut><aor><s_sg2>/тэнмык<v><iv><th><inch><neut><aor><s_sg3>$
   ^2/*2$ ^тэнйыръэннин/йыръэтык<v><tv><ints><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^тэквэтгъэк/эквэтык<v><iv><neut><aor><s_sg1>$
   ^2/*2$ ^тэймитыркын/эймитык<v><iv><prog><aor><s_sg1>/эймитык<v><tv><prog><aor><a_sg1><o_sg3>$
   ^2/*2$ ^тэвԓянэн/тэвԓяк<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^тэвэнаӈ/тэвэнаӈ<n><sg><abs>$
   ^2/*2$ ^тэвмэчынкы/*тэвмэчынкы$
   ^2/*2$ ^тыԓян/тыԓек<v><iv><ger><sg><abs>/тыԓек<v><tv><ger><sg><abs>/тыԓяк<v><iv><ger><sg><abs>/тыԓяк<v><tv><ger><sg><abs>/тыԓяк<v><tv><neut><aor><a_sg2><o_sg3>/тыԓян<n><sg><abs>$
   ^2/*2$ ^тыԓьуркынигыт/ԓьук<v><tv><prog><aor><a_sg1><o_sg2>$
   ^2/*2$ ^тыԓьугъэн/ԓьук<v><tv><neut><aor><a_sg1><o_sg3>$
   ^2/*2$ ^тыԓик/тыԓик<v><iv><gna_ant>/тыԓик<v><iv><inf>/тыԓик<v><iv><neut><aor><s_sg1>$
   ^2/*2$ ^тыԓигъэт/тыԓик<v><iv><neut><aor><s_pl3>$
   ^2/*2$ ^тыԓегъэт/тыԓекин<v><iv><neut><aor><s_pl3>/тыԓек<v><iv><neut><aor><s_pl3>$
   ^2/*2$ ^тыԓгыгъэн/тыԓгык<v><tv><neut><aor><a_sg1><o_sg3>/тыԓгык<v><tv><neut><aor><a_sg2><o_sg3>$
   ^2/*2$ ^тыԓвавын/тыԓвык<v><iv><th><ger><sg><abs>/тыԓвык<v><tv><th><ger><sg><abs>/ԓывавык<v><tv><neut><aor><a_sg1><o_sg3>$
   ^2/*2$ ^тыӈэвынъюсӄивык/*тыӈэвынъюсӄивык$
   ^2/*2$ ^тыӈивынин/*тыӈивынин$
   ^2/*2$ ^тыӄэвъяӈӈок/*тыӄэвъяӈӈок$
   ^2/*2$ ^тыӄытрирэгъэк/ӄытрирэк<v><iv><neut><aor><s_sg1>$
   ^2/*2$ ^тыӄитъытвыткуркын/*тыӄитъытвыткуркын$
   ^2/*2$ ^тытԓёмнэн/тытԓёпык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^тытԓыкагыргэты/*тытԓыкагыргэты$
   ^2/*2$ ^тытԓыкагыргык/*тытԓыкагыргык$
   ^2/*2$ ^тытԓыйӈын/тытыԓ<n><aug><aa><ess>/тытыԓ<n><aug><px3sg><abs>/тытыԓ<n><aug><sg><abs>$
   ^2/*2$ ^тытԓепы/*тытԓепы$
   ^2/*2$ ^тытэӈэт/*тытэӈэт$
   ^2/*2$ ^тытэӈмэԓевык/*тытэӈмэԓевык$
   ^2/*2$ ^тытэгъеӈыркын/тэгъеӈык<v><iv><prog><aor><s_sg1>/тэгъеӈык<v><tv><prog><aor><a_sg1><o_sg3>$
   ^2/*2$ ^тыттатын/тыттук<v><iv><th><ger><sg><abs>/тыттук<v><tv><th><ger><sg><abs>/тыттэтык<v><iv><ger><sg><abs>/тыттэтык<v><tv><ger><sg><abs>$
   ^2/*2$ ^тытвагъак/вак<v><iv><neut><aor><s_sg1>$
   ^2/*2$ ^тырэпириӈын/пирик<v><tv><neut><fut><a_sg1><o_sg3>$
   ^2/*2$ ^тыраԓпынрыгыт/*тыраԓпынрыгыт$
   ^2/*2$ ^тыратваркын/*тыратваркын$
   ^2/*2$ ^тырарагтыгъа/рагтык<v><iv><neut><fut><s_sg1>$
   ^2/*2$ ^тырапаагъа/паак<v><iv><neut><fut><s_sg1>$
   ^2/*2$ ^тыпэԓянат/пэԓяк<v><tv><neut><aor><a_sg1><o_pl3>$
   ^2/*2$ ^тынторкын/ӈыток<v><iv><prog><aor><s_sg1>/ӈыток<v><tv><prog><aor><a_sg1><o_sg3>$
   ^2/*2$ ^тымын/тымык<v><iv><ger><sg><abs>/тымык<v><tv><ger><sg><abs>/тымык<v><tv><neut><aor><a_sg2><o_sg3>$
   ^2/*2$ ^тымнэнат/*тымнэнат$
   ^2/*2$ ^тыйпынат/*тыйпынат$
   ^2/*2$ ^тыетык/*тыетык$
   ^2/*2$ ^тъыяагъан/*тъыяагъан$
   ^2/*2$ ^тъынинэт/тъык<v><tv><neut><aor><a_sg3><o_pl3>/тыӄык<v><tv><neut><aor><a_sg3><o_pl3>$
   ^2/*2$ ^тъывэтгавык/*тъывэтгавык$
   ^2/*2$ ^тъарыӈ/*тъарыӈ$
   ^2/*2$ ^турыгъевэ/*турыгъевэ$
   ^2/*2$ ^турыгъевыттэ/*турыгъевыттэ$
   ^2/*2$ ^тумгиинэ/*тумгиинэ$
   ^2/*2$ ^трэетгъэ/*трэетгъэ$
   ^2/*2$ ^торыкагты/тури<prn><pers><p2><pl><all>$
   ^2/*2$ ^торгынан/*торгынан$
   ^2/*2$ ^тиӈурэ/тиӈур<n><erg>$
   ^2/*2$ ^титӄэтык/титӄэтык<v><iv><gna_ant>/титӄэтык<v><iv><inf>$
   ^2/*2$ ^тинэнъэӄэӈыԓьын/*тинэнъэӄэӈыԓьын$
   ^2/*2$ ^тивыркын/ивык<v><iv><prog><aor><s_sg1>/ивык<v><tv><prog><aor><a_sg1><o_sg3>/тивык<v><iv><prog><aor><s_sg2>/тивык<v><iv><prog><aor><s_sg3>/тивык<v><tv><prog><aor><a_sg2><o_sg3>$
   ^2/*2$ ^твыԓьыт/*твыԓьыт$
   ^2/*2$ ^таӈамӈырвыянва/*таӈамӈырвыянва$
   ^2/*2$ ^тачайвэвынэн/*тачайвэвынэн$
   ^2/*2$ ^татԓыӈыткогъэ/татԓыӈык<v><iv><ap2><neut><aor><s_sg2>/татԓыӈык<v><iv><ap2><neut><aor><s_sg3>/татԓыӈык<v><iv><iter><neut><aor><s_sg2>/татԓыӈык<v><iv><iter><neut><aor><s_sg3>/татԓыӈык<v><iv><utilit><neut><aor><s_sg2>/татԓыӈык<v><iv><utilit><neut><aor><s_sg3>/татԓыӈык<v><tv><neut><aor><a_sg2><o_pl1>/татԓыӈыткок<v><iv><neut><aor><s_sg2>/татԓыӈыткок<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^тараӈгъат/тараӈык<v><iv><neut><aor><s_pl3>$
   ^2/*2$ ^танԓымынӄэн/*танԓымынӄэн$
   ^2/*2$ ^рэԓгыӈын/иԓгыԓьын<v><iv><desid><ger><sg><abs>$
   ^2/*2$ ^рэтэвиминӈыгъэ/*рэтэвиминӈыгъэ$
   ^2/*2$ ^рэсӄиквъэт/*рэсӄиквъэт$
   ^2/*2$ ^рэпкиры/*рэпкиры$
   ^2/*2$ ^рэпаԓӄооԓгыткынык/*рэпаԓӄооԓгыткынык$
   ^2/*2$ ^рэпаԓгэръын/*рэпаԓгэръын$
   ^2/*2$ ^рэпаԓгыӄонагтэ/*рэпаԓгыӄонагтэ$
   ^2/*2$ ^рэпаԓгыръыԓвэк/*рэпаԓгыръыԓвэк$
   ^2/*2$ ^рэмкэ/рэмкын<n><erg>$
   ^2/*2$ ^рэмкыԓьэ/рэмкын<n><rel_n><erg>/рэмкыԓьын<n><erg>$
   ^2/*2$ ^рэмкыԓьыт/рэмкын<n><rel_n><pl><abs>/рэмкын<n><rel_n><px3pl><abs>/рэмкыԓьын<n><pl><abs>/рэмкыԓьын<n><px3pl><abs>$
   ^2/*2$ ^рэетгъэ/*рэетгъэ$
   ^2/*2$ ^рэвымрэв/*рэвымрэв$
   ^2/*2$ ^рыԓенаӈо/*рыԓенаӈо$
   ^2/*2$ ^рыԓгъат/*рыԓгъат$
   ^2/*2$ ^рыягнавкы/рыягнавкы<adv>$
   ^2/*2$ ^рытынэт/*рытынэт$
   ^2/*2$ ^рытъё/рытъё<n><sg><abs>/рытык<v><tv><ptcp><pass><sg><abs>/тъык<v><tv><caus><ptcp><pass><sg><abs>/тыӄык<v><tv><caus><ptcp><pass><sg><abs>$
   ^2/*2$ ^рыттэтык/тыттук<v><iv><caus><th><gna_ant>/тыттук<v><iv><caus><th><inf>/тыттэтык<v><iv><caus><gna_ant>/тыттэтык<v><iv><caus><inf>$
   ^2/*2$ ^рытакаӈаннэн/рытакаӈатык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^рырыткунин/рырык<v><tv><ap2><neut><aor><a_sg3><o_sg3>/рырык<v><tv><iter><neut><aor><a_sg3><o_sg3>/рырык<v><tv><utilit><neut><aor><a_sg3><o_sg3>/рырыткок<v><tv><consume><neut><aor><a_sg3><o_sg3>/рырыткук<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^рыркат/*рыркат$
   ^2/*2$ ^рынӈэвынэн/*рынӈэвынэн$
   ^2/*2$ ^рыннокоӄай/рыннокон<n><dim><sg><abs>$
   ^2/*2$ ^рымӈыԓявнэн/рымӈыԓявык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^рыгыргоԓявнэн/рыгыргоԓявык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^ръэӄэйык/*ръэӄэйык$
   ^2/*2$ ^ръоратыӈогъа/*ръоратыӈогъа$
   ^2/*2$ ^руԓвынин/руԓвык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^ротванвыгъет/*ротванвыгъет$
   ^2/*2$ ^рорат/рорат<n><sg><abs>$
   ^2/*2$ ^риӄукэтэ/рэӄокаԓгын<n><erg>/рэӄокаԓгын<n><pl><abs>/рэӄокаԓгын<n><px3pl><abs>$
   ^2/*2$ ^ритгъэ/*ритгъэ$
   ^2/*2$ ^ринъэйӈэԓьэтгъэ/*ринъэйӈэԓьэтгъэ$
   ^2/*2$ ^ринтысӄивнин/*ринтысӄивнин$
   ^2/*2$ ^раӄыԓӄыԓ/раӄыԓӄыԓ<n><sg><abs>$
   ^2/*2$ ^рачормык/*рачормык$
   ^2/*2$ ^рачвыӈынвэты/рачвыӈык<v><iv><ger><all>/рачвыӈык<v><tv><ger><all>$
   ^2/*2$ ^ратагнык/*ратагнык$
   ^2/*2$ ^ранэчгэтавӈын/рэчгэтавык<v><iv><desid><ger><sg><abs>/рэчгэтавык<v><tv><desid><ger><sg><abs>/рэчгэтавык<v><tv><desid><neut><aor><a_sg2><o_sg3>$
   ^2/*2$ ^рантогъа/*рантогъа$
   ^2/*2$ ^ранмычыӈкы/*ранмычыӈкы$
   ^2/*2$ ^райыӈӄэн/*райыӈӄэн$
   ^2/*2$ ^райвачыӈ/*райвачыӈ$
   ^2/*2$ ^рагаԓяныт/*рагаԓяныт$
   ^2/*2$ ^равэтԓьан/*равэтԓьан$
   ^2/*2$ ^пэԓӄэтгъи/пэԓӄэтык<v><iv><neut><aor><s_sg2>/пэԓӄэтык<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^пэԓятгъэ/пэԓятык<v><iv><neut><aor><s_sg2>/пэԓятык<v><iv><neut><aor><s_sg3>$
   ^2/*2$ ^пэԓянэн/пэԓяк<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^пэнрыткогъат/пэнрыткок<v><iv><neut><aor><s_pl3>$
   ^2/*2$ ^пэвэԓӄэй/пэвэԓ<n><dim><sg><abs>$
   ^2/*2$ ^пэвэԓӄай/*пэвэԓӄай$
   ^2/*2$ ^пыԓвынтыран/*пыԓвынтыран$
   ^2/*2$ ^пыԓвынтынананаӄай/*пыԓвынтынананаӄай$
   ^2/*2$ ^пытԓяӄ/пытԓяӄ<adv>$
   ^2/*2$ ^пытӄыԓымӈэ/*пытӄыԓымӈэ$
   ^2/*2$ ^пытӄы/*пытӄы$
   ^2/*2$ ^пысӄункымиӈын/*пысӄункымиӈын$
   ^2/*2$ ^пынрынэн/*пынрынэн$
   ^2/*2$ ^пыкэрынвык/пыкирык<v><iv><ger><loc>/пыкирык<v><tv><ger><loc>$
   ^2/*2$ ^пыкэргыргыкэн/пыкирык<v><iv><ger><rel><sg><abs>/пыкирык<v><tv><ger><rel><sg><abs>$
   ^2/*2$ ^пыкитчыӄиквъи/*пыкитчыӄиквъи$
   ^2/*2$ ^пиӈпиӈэ/пиӈпиӈ<n><erg>$
   ^2/*2$ ^пирининэт/пирик<v><tv><neut><aor><a_sg3><o_pl3>$
   ^2/*2$ ^пирик/пирик<v><iv><gna_ant>/пирик<v><iv><inf>$
   ^2/*2$ ^пагтыԓгыԓӄыԓтэ/*пагтыԓгыԓӄыԓтэ$
   ^2/*2$ ^очнэн/очык<v><tv><neut><aor><a_sg3><o_sg3>$
   ^2/*2$ ^орвэты/*орвэты$
   ^2/*2$ ^орвыткынык/*орвыткынык$
   ^2/*2$ ^орвыт/*орвыт$
   ^2/*2$ ^опопыӈ/опопыӈ<adv>$
   ^2/*2$ ^омкычыкогты/*омкычыкогты$
   ^2/*2$ ^оʼптыма/оʼптыма<cnjcoo>$
   ^2/*2$ ^нэԓгыӄэй/нэԓгын<n><dim><sg><abs>$
